L D R N CK
256 1 2041 2041 7.718520
768 1 6137 6137 7.718535
2048 1 16377 16377 7.715321
3072 1 24569 24569 7.924847
8192 1 65529 65529 7.853369
16384 1 131065 131065 8.259526
32768 1 262137 262137 8.231292
256 3 681 2041 7.769531
768 3 2047 6139 7.755471
2048 3 5460 16378 7.866813
3072 3 8191 24571 7.843310
8192 3 21844 65530 7.944140
16384 3 43689 131065 8.589172
32768 3 87380 262138 8.376009
256 7 293 2045 7.930716
768 7 878 6140 7.956549
2048 7 2341 16381 8.038189
3072 7 3511 24571 8.090815
8192 7 9363 65535 8.639651
16384 7 18725 131069 8.857434
32768 7 37449 262137 9.557179
256 8 256 2041 8.021289
768 8 768 6137 8.102930
2048 8 2048 16377 8.186791
3072 8 3072 24569 8.403630
8192 8 8192 65529 8.928766
16384 8 16384 131065 9.348499
32768 8 32768 262137 9.909477
256 16 256 4081 8.149414
768 16 768 12273 8.333789
2048 16 2048 32753 8.929517
3072 16 3072 49137 9.387761
8192 16 8192 131057 10.937836
16384 16 16384 262129 12.195681
32768 16 32768 524273 23.319051
