L D R N CK
256 1 2041 2041 7.729764
768 1 6137 6137 7.797531
2048 1 16377 16377 8.696312
3072 1 24569 24569 9.306028
8192 1 65529 65529 11.594487
16384 1 131065 131065 11.883412
32768 1 262137 262137 15.763742
256 3 681 2041 7.813510
768 3 2047 6139 7.922887
2048 3 5460 16378 8.340824
3072 3 8191 24571 9.095727
8192 3 21844 65530 11.100442
16384 3 43689 131065 12.021069
32768 3 87380 262138 13.659187
256 7 293 2045 7.953755
768 7 878 6140 8.148007
2048 7 2341 16381 8.791436
3072 7 3511 24571 9.411506
8192 7 9363 65535 11.453898
16384 7 18725 131069 12.604122
32768 7 37449 262137 14.755561
256 8 256 2041 8.086718
768 8 768 6137 8.154623
2048 8 2048 16377 8.622778
3072 8 3072 24569 9.722477
8192 8 8192 65529 12.762280
16384 8 16384 131065 12.594784
32768 8 32768 262137 14.017141
256 16 256 4081 8.251562
768 16 768 12273 8.588411
2048 16 2048 32753 10.280811
3072 16 3072 49137 11.132406
8192 16 8192 131057 13.393842
16384 16 16384 262129 18.349197
32768 16 32768 524273 35.453177
