L D R N CK
256 1 2041 2041 7.724841
768 1 6137 6137 7.703356
2048 1 16377 16377 7.824006
3072 1 24569 24569 7.802719
8192 1 65529 65529 7.805667
16384 1 131065 131065 7.889276
32768 1 262137 262137 8.772253
256 6 341 2041 7.870382
768 6 1024 6139 7.865479
2048 6 2731 16381 7.966184
3072 6 4096 24571 8.038770
8192 6 10923 65533 8.442589
16384 6 21845 131065 8.579252
32768 6 43691 262141 9.437432
256 8 256 2041 7.947852
768 8 768 6137 8.104817
2048 8 2048 16377 8.130054
3072 8 3072 24569 8.243555
8192 8 8192 65529 8.798969
16384 8 16384 131065 10.498279
32768 8 32768 262137 9.751550
256 15 256 3826 8.047461
768 15 768 11506 8.364844
2048 15 2048 30706 8.874682
3072 15 3072 46066 9.008040
8192 15 8192 122866 9.819672
16384 15 16384 245746 11.269732
32768 15 32768 491506 20.764662
256 71 256 18106 8.220703
768 71 768 54458 9.144467
2048 71 2048 145338 11.221704
3072 71 3072 218042 12.781966
8192 71 8192 581562 19.080951
16384 71 16384 1163194 21.840702
32768 71 32768 2326458 26.834846
