L D R N CK
256 10 256 2551 8.083984
768 10 768 7671 8.154297
2048 10 2048 20471 9.175269
3072 10 3072 30711 9.864486
8192 10 8192 81911 11.924671
16384 10 16384 163831 15.192313
32768 10 32768 327671 18.025063
256 30 256 7651 8.140039
768 30 768 23011 8.575912
2048 30 2048 61411 13.118213
3072 30 3072 92131 14.102930
8192 30 8192 245731 15.009772
16384 30 16384 491491 16.885517
32768 30 32768 983011 26.194167
256 50 256 12751 8.166601
768 50 768 38351 8.916992
2048 50 2048 102351 10.919116
3072 50 3072 153551 11.932975
8192 50 8192 409551 18.183960
16384 50 16384 819151 20.014627
32768 50 32768 1638351 26.609230
256 70 256 17851 8.196290
768 70 768 53691 9.124740
2048 70 2048 143291 11.121826
3072 70 3072 214971 16.087696
8192 70 8192 573371 17.179474
16384 70 16384 1146811 20.594052
32768 70 32768 2293691 27.138701
256 90 256 22951 8.285156
768 90 768 69031 9.237435
2048 90 2048 184231 14.500073
3072 90 3072 276391 14.161687
8192 90 8192 737191 18.212921
16384 90 16384 1474471 22.933340
32768 90 32768 2949031 27.269933
