L D R N CK
256 99 256 25246 8.343946
768 99 768 75934 9.874284
2048 99 2048 202654 13.526806
3072 99 3072 304030 14.122509
8192 99 8192 810910 19.486682
16384 99 16384 1621918 21.110360
32768 99 32768 3243934 27.766300
256 50 256 12751 8.211133
768 50 768 38351 9.007943
2048 50 2048 102351 11.195068
3072 50 3072 153551 15.770638
8192 50 8192 409551 14.930536
16384 50 16384 819151 19.203662
32768 50 32768 1638351 23.539062
256 10 256 2551 8.001953
768 10 768 7671 8.325130
2048 10 2048 20471 8.383667
3072 10 3072 30711 8.560417
8192 10 8192 81911 9.595972
16384 10 16384 163831 12.965121
32768 10 32768 327671 11.141106
256 5 409 2041 7.844254
768 5 1229 6141 10.438527
2048 5 3277 16381 7.986237
3072 5 4915 24571 8.128525
8192 5 13107 65531 8.626608
16384 5 26214 131066 8.606134
32768 5 52429 262141 12.380078
256 1 2041 2041 8.232386
768 1 6137 6137 9.448101
2048 1 16377 16377 7.811865
3072 1 24569 24569 8.329185
8192 1 65529 65529 8.052924
16384 1 131065 131065 7.972128
32768 1 262137 262137 9.065565
