L D R N CK
256 1 2041 2041 5.595271
768 1 6137 6137 6.296285
2048 1 16377 16377 7.140102
3072 1 24569 24569 7.476503
8192 1 65529 65529 9.604947
16384 1 131065 131065 10.196422
32768 1 262137 262137 12.314327
256 6 341 2041 6.372288
768 6 1024 6139 6.492627
2048 6 2731 16381 7.170725
3072 6 4096 24571 7.937768
8192 6 10923 65533 9.326526
16384 6 21845 131065 10.210231
32768 6 43691 262141 13.607776
256 8 256 2041 6.440625
768 8 768 6137 6.650260
2048 8 2048 16377 7.490943
3072 8 3072 24569 8.490658
8192 8 8192 65529 10.154181
16384 8 16384 131065 10.386453
32768 8 32768 262137 18.950276
256 15 256 3826 6.876367
768 15 768 11506 7.119076
2048 15 2048 30706 8.442211
3072 15 3072 46066 10.607340
8192 15 8192 122866 11.931836
16384 15 16384 245746 12.853290
32768 15 32768 491506 16.399563
256 71 256 18106 6.806055
768 71 768 54458 8.422591
2048 71 2048 145338 11.035229
3072 71 3072 218042 11.898031
8192 71 8192 581562 14.238812
16384 71 16384 1163194 16.841415
32768 71 32768 2326458 16.451676
