L D R N CK
256 1 2041 2041 5.505145
768 1 6137 6137 6.268927
2048 1 16377 16377 6.642303
3072 1 24569 24569 7.662400
8192 1 65529 65529 10.040802
16384 1 131065 131065 11.073780
32768 1 262137 262137 12.534349
256 6 341 2041 6.492669
768 6 1024 6139 6.844190
2048 6 2731 16381 7.537679
3072 6 4096 24571 8.104419
8192 6 10923 65533 10.517875
16384 6 21845 131065 11.878856
32768 6 43691 262141 12.252302
256 8 256 2041 6.548242
768 8 768 6137 6.832097
2048 8 2048 16377 8.494091
3072 8 3072 24569 8.833480
8192 8 8192 65529 10.952210
16384 8 16384 131065 12.331088
32768 8 32768 262137 14.569205
256 15 256 3826 6.595117
768 15 768 11506 6.996680
2048 15 2048 30706 9.008374
3072 15 3072 46066 9.670849
8192 15 8192 122866 13.825012
16384 15 16384 245746 13.028146
32768 15 32768 491506 14.819195
256 71 256 18106 6.826367
768 71 768 54458 7.850586
2048 71 2048 145338 11.103271
3072 71 3072 218042 11.026514
8192 71 8192 581562 13.918726
16384 71 16384 1163194 16.142056
32768 71 32768 2326458 18.208624
