L: 256, D: 1, R: 16321, N: 16321, CK: 3080313
L: 256, D: 1, R: 16321, N: 16321, CK: 3440708
L: 256, D: 1, R: 16321, N: 16321, CK: 6253379
L: 256, D: 1, R: 16321, N: 16321, CK: 1142838
L: 256, D: 1, R: 16321, N: 16321, CK: 1191793
L: 256, D: 1, R: 16321, N: 16321, CK: 5625257
L: 256, D: 1, R: 16321, N: 16321, CK: 3638105
L: 256, D: 25, R: 654, N: 16326, CK: 53491
L: 256, D: 25, R: 654, N: 16326, CK: 153827
L: 256, D: 25, R: 654, N: 16326, CK: 153267
L: 256, D: 25, R: 654, N: 16326, CK: 155937
L: 256, D: 25, R: 654, N: 16326, CK: 236669
L: 256, D: 25, R: 654, N: 16326, CK: 263308
L: 256, D: 25, R: 654, N: 16326, CK: 152958
L: 256, D: 50, R: 328, N: 16351, CK: 80370
L: 256, D: 50, R: 328, N: 16351, CK: 75976
L: 256, D: 50, R: 328, N: 16351, CK: 46054
L: 256, D: 50, R: 328, N: 16351, CK: 78687
L: 256, D: 50, R: 328, N: 16351, CK: 133500
L: 256, D: 50, R: 328, N: 16351, CK: 76106
L: 256, D: 50, R: 328, N: 16351, CK: 134949
L: 256, D: 75, R: 219, N: 16351, CK: 79289
L: 256, D: 75, R: 219, N: 16351, CK: 51032
L: 256, D: 75, R: 219, N: 16351, CK: 50592
L: 256, D: 75, R: 219, N: 16351, CK: 53165
L: 256, D: 75, R: 219, N: 16351, CK: 51993
L: 256, D: 75, R: 219, N: 16351, CK: 17653
L: 256, D: 75, R: 219, N: 16351, CK: 51762
L: 256, D: 100, R: 165, N: 16401, CK: 35165
L: 256, D: 100, R: 165, N: 16401, CK: 13314
L: 256, D: 100, R: 165, N: 16401, CK: 39459
L: 256, D: 100, R: 165, N: 16401, CK: 38471
L: 256, D: 100, R: 165, N: 16401, CK: 22256
L: 256, D: 100, R: 165, N: 16401, CK: 34830
L: 256, D: 100, R: 165, N: 16401, CK: 40183
L: 256, D: 1, R: 16321, N: 16321, CK: 3401505
L: 256, D: 1, R: 16321, N: 16321, CK: 2680775
L: 256, D: 1, R: 16321, N: 16321, CK: 3283157
L: 256, D: 1, R: 16321, N: 16321, CK: 2707186
L: 256, D: 1, R: 16321, N: 16321, CK: 2072077
L: 256, D: 1, R: 16321, N: 16321, CK: 3198402
L: 256, D: 1, R: 16321, N: 16321, CK: 3549438
L: 256, D: 25, R: 654, N: 16326, CK: 137638
L: 256, D: 25, R: 654, N: 16326, CK: 138728
L: 256, D: 25, R: 654, N: 16326, CK: 156772
L: 256, D: 25, R: 654, N: 16326, CK: 143007
L: 256, D: 25, R: 654, N: 16326, CK: 270515
L: 256, D: 25, R: 654, N: 16326, CK: 168791
L: 256, D: 25, R: 654, N: 16326, CK: 228643
L: 256, D: 50, R: 328, N: 16351, CK: 76474
L: 256, D: 50, R: 328, N: 16351, CK: 77304
L: 256, D: 50, R: 328, N: 16351, CK: 25891
L: 256, D: 50, R: 328, N: 16351, CK: 26096
L: 256, D: 50, R: 328, N: 16351, CK: 68094
L: 256, D: 50, R: 328, N: 16351, CK: 128412
L: 256, D: 50, R: 328, N: 16351, CK: 37200
L: 256, D: 75, R: 219, N: 16351, CK: 85473
L: 256, D: 75, R: 219, N: 16351, CK: 51482
L: 256, D: 75, R: 219, N: 16351, CK: 52243
L: 256, D: 75, R: 219, N: 16351, CK: 53302
L: 256, D: 75, R: 219, N: 16351, CK: 51142
L: 256, D: 75, R: 219, N: 16351, CK: 74607
L: 256, D: 75, R: 219, N: 16351, CK: 47313
L: 256, D: 100, R: 165, N: 16401, CK: 34575
L: 256, D: 100, R: 165, N: 16401, CK: 35057
L: 256, D: 100, R: 165, N: 16401, CK: 34713
L: 256, D: 100, R: 165, N: 16401, CK: 38082
L: 256, D: 100, R: 165, N: 16401, CK: 64051
L: 256, D: 100, R: 165, N: 16401, CK: 39341
L: 256, D: 100, R: 165, N: 16401, CK: 39006
L: 256, D: 1, R: 16321, N: 16321, CK: 1197247
L: 256, D: 1, R: 16321, N: 16321, CK: 3690975
L: 256, D: 1, R: 16321, N: 16321, CK: 2166252
L: 256, D: 1, R: 16321, N: 16321, CK: 3220530
L: 256, D: 1, R: 16321, N: 16321, CK: 1876101
L: 256, D: 1, R: 16321, N: 16321, CK: 3415950
L: 256, D: 1, R: 16321, N: 16321, CK: 1626837
L: 256, D: 25, R: 654, N: 16326, CK: 150653
L: 256, D: 25, R: 654, N: 16326, CK: 93717
L: 256, D: 25, R: 654, N: 16326, CK: 54098
L: 256, D: 25, R: 654, N: 16326, CK: 154056
L: 256, D: 25, R: 654, N: 16326, CK: 156168
L: 256, D: 25, R: 654, N: 16326, CK: 158666
L: 256, D: 25, R: 654, N: 16326, CK: 152449
L: 256, D: 50, R: 328, N: 16351, CK: 76792
L: 256, D: 50, R: 328, N: 16351, CK: 74548
L: 256, D: 50, R: 328, N: 16351, CK: 81789
L: 256, D: 50, R: 328, N: 16351, CK: 78866
L: 256, D: 50, R: 328, N: 16351, CK: 88871
L: 256, D: 50, R: 328, N: 16351, CK: 75947
L: 256, D: 50, R: 328, N: 16351, CK: 22362
L: 256, D: 75, R: 219, N: 16351, CK: 50824
L: 256, D: 75, R: 219, N: 16351, CK: 55253
L: 256, D: 75, R: 219, N: 16351, CK: 50583
L: 256, D: 75, R: 219, N: 16351, CK: 52590
L: 256, D: 75, R: 219, N: 16351, CK: 51859
L: 256, D: 75, R: 219, N: 16351, CK: 52435
L: 256, D: 75, R: 219, N: 16351, CK: 17828
L: 256, D: 100, R: 165, N: 16401, CK: 39040
L: 256, D: 100, R: 165, N: 16401, CK: 54523
L: 256, D: 100, R: 165, N: 16401, CK: 34232
L: 256, D: 100, R: 165, N: 16401, CK: 34964
L: 256, D: 100, R: 165, N: 16401, CK: 39412
L: 256, D: 100, R: 165, N: 16401, CK: 56045
L: 256, D: 100, R: 165, N: 16401, CK: 38905
L: 256, D: 1, R: 16321, N: 16321, CK: 1291936
L: 256, D: 1, R: 16321, N: 16321, CK: 1902480
L: 256, D: 1, R: 16321, N: 16321, CK: 3310385
L: 256, D: 1, R: 16321, N: 16321, CK: 1350036
L: 256, D: 1, R: 16321, N: 16321, CK: 1989797
L: 256, D: 1, R: 16321, N: 16321, CK: 3054166
L: 256, D: 1, R: 16321, N: 16321, CK: 1796842
L: 256, D: 25, R: 654, N: 16326, CK: 55228
L: 256, D: 25, R: 654, N: 16326, CK: 167049
L: 256, D: 25, R: 654, N: 16326, CK: 156179
L: 256, D: 25, R: 654, N: 16326, CK: 259460
L: 256, D: 25, R: 654, N: 16326, CK: 262434
L: 256, D: 25, R: 654, N: 16326, CK: 153389
L: 256, D: 25, R: 654, N: 16326, CK: 136295
L: 256, D: 50, R: 328, N: 16351, CK: 67835
L: 256, D: 50, R: 328, N: 16351, CK: 76107
L: 256, D: 50, R: 328, N: 16351, CK: 129762
L: 256, D: 50, R: 328, N: 16351, CK: 94006
L: 256, D: 50, R: 328, N: 16351, CK: 43379
L: 256, D: 50, R: 328, N: 16351, CK: 131967
L: 256, D: 50, R: 328, N: 16351, CK: 76814
