L D R N CK
256 1 2041 2041 8.076702
768 1 6137 6137 7.718828
2048 1 16377 16377 7.822440
3072 1 24569 24569 7.957400
8192 1 65529 65529 7.917722
16384 1 131065 131065 8.111183
32768 1 262137 262137 8.628725
256 3 681 2041 7.790088
768 3 2047 6139 8.188691
2048 3 5460 16378 8.588379
3072 3 8191 24571 7.822458
8192 3 21844 65530 8.439208
16384 3 43689 131065 8.735872
32768 3 87380 262138 8.506809
256 7 293 2045 8.464164
768 7 878 6140 7.961902
2048 7 2341 16381 8.119522
3072 7 3511 24571 8.150185
8192 7 9363 65535 8.874698
16384 7 18725 131069 10.047776
32768 7 37449 262137 12.468535
256 8 256 2041 8.000000
768 8 768 6137 8.115951
2048 8 2048 16377 8.255029
3072 8 3072 24569 8.499349
8192 8 8192 65529 9.171771
16384 8 16384 131065 9.604779
32768 8 32768 262137 9.679652
256 15 256 3826 8.085156
768 15 768 11506 8.287500
2048 15 2048 30706 8.902587
3072 15 3072 46066 9.182194
8192 15 8192 122866 13.842071
16384 15 16384 245746 12.142017
32768 15 32768 491506 19.478897
